The Suicide Squad,2021,R,132,"Action, Adventure, Comedy",7.2,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",James Gunn,"389,251"
From Dusk Till Dawn,1996,R,108,"Action, Crime, Horror",7.2,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,"332,232"
The Dark Knight Rises,2012,PG-13,164,"Action, Drama, Thriller",8.4,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",Christopher Nolan,"1,783,454"
The Lost City,2022,PG-13,112,"Action, Adventure, Comedy",6.1,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,Aaron Nee,"143,496"
Gladiator 2,2024,No Certificate,0,"Action, Adventure, Drama",0.0,"Follows Lucius, the son of Maximus' love Lucilla, after Maximus' death.",Ridley Scott,0
Spy Kids,2001,PG,0,"Action, Adventure, Comedy",5.6,"Using high tech gadgets, two kids have to save their reactivated OSS top spy parents when they're taken by an evil, high tech enemy.",Robert Rodriguez,"124,487"
Mission Raniganj: The Great Bharat Rescue,2023,No Certificate,134,"Action, Biography, Drama",7.7,Mining engineer Jaswant Singh Gill leads a challenging rescue mission to save 65 miners trapped in a flooded coal mine.,Tinu Suresh Desai,"11,963"
The Lord of the Rings: The Return of the King,2003,PG-13,201,"Action, Adventure, Drama",9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"1,925,613"
Tropic Thunder,2008,R,107,"Action, Comedy, War",7.1,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",Ben Stiller,"437,530"
The Equalizer 2,2018,R,121,"Action, Crime, Thriller",6.7,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",Antoine Fuqua,"183,863"
Retribution,2023,R,0,"Action, Crime, Drama",5.3,A bank executive receives a bomb threat while driving his children to school that his car will explode if they stop and get out.,Nimród Antal,"11,234"
Deadpool 3,2024,No Certificate,0,"Action, Comedy, Sci-Fi",0.0,"Wolverine joins the ""merc with a mouth"" in the third installment of the Deadpool film franchise.",Shawn Levy,0
Aquaman and the Lost Kingdom,2023,PG-13,115,"Action, Adventure, Fantasy",0.0,"Arthur must enlist the help of his half-brother Orm in order to protect Atlantis against Black Manta, who has unleashed a devastating weapon in his obsessive quest to avenge his father's death.",James Wan,0
Sisu,2022,R,0,"Action, War",6.9,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.",Jalmari Helander,"59,391"
Mad Max: Fury Road,2015,R,120,"Action, Adventure, Sci-Fi",8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",George Miller,"1,053,271"
Scott Pilgrim vs. the World,2010,PG-13,112,"Action, Comedy, Fantasy",7.5,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",Edgar Wright,"451,300"
Argylle,2024,No Certificate,135,"Action, Thriller",0.0,An introverted spy novelist is drawn into the activities of a sinister underground syndicate.,Matthew Vaughn,0
The King's Man,2021,R,131,"Action, Adventure, Thriller",6.3,"In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.",Matthew Vaughn,"165,051"
The Bell Keeper,2023,No Certificate,0,"Action, Horror",3.8,Follows a group of friends who travel to a secluded campsite to film a documentary. What they find is something much more sinister than they could have ever imagined.,Colton Tran,224
Mission: Impossible,1996,PG-13,110,"Action, Adventure, Thriller",7.2,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",Brian De Palma,"459,578"
Hit Man,2023,No Certificate,113,"Action, Comedy",7.8,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services.",Richard Linklater,608
The Mummy,1999,PG-13,124,"Action, Adventure, Fantasy",7.1,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",Stephen Sommers,"450,837"
Watchmen,2009,R,162,"Action, Drama, Mystery",7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,"571,384"
Mission: Impossible - Fallout,2018,PG-13,147,"Action, Adventure, Thriller",7.7,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie,"366,895"
Knight and Day,2010,PG-13,109,"Action, Adventure, Comedy",6.3,A young woman gets mixed up with a disgraced spy who is trying to clear his name.,James Mangold,"206,623"
